Term,Definition
narrative structure,"This is the organizational framework of a story, determining how the narrative is presented to the reader. In Narratology, it includes elements like plot, setting, character development, and the sequence of events, and can vary widely from linear progressions to more complex, non-linear formats."
narrative styles,Different ideological and aesthetic approaches in narrative texts.
narrative system,The framework or structure within which narrative texts are constructed and understood.
narrative text,"A story conveyed through a medium, requiring an agent (narrator) to tell it; characterized by the presence of two types of speakers."
narrative text (specific definition),A text where a story is told by an agent to an addressee using various mediums.
narrative texts,"Diverse forms of texts that serve multiple purposes and functions, often telling a story."
narrative time,"The time within which the story takes place, including the duration of the story, the order in which events are presented, and the pace at which the narrative progresses."
narrative trajectory,"In Narratology, narrative trajectory refers to the direction and path a narrative takes. It encompasses the plot’s progression, including the development of events, character arcs, and the unfolding of thematic elements."
narratology,"The study of narratives in various forms, including texts, images, and events."
narrator,The agent or speaker in the text layer of a narrative.
narrator as witness,"A type of narrator in narratology who recounts events they have observed or experienced, providing a personal and potentially limited perspective on the narrative."
narrator descriptions,"The portrayals and depictions of characters, settings, and events provided by the narrator, shaping the reader's understanding and interpretation of the narrative."
narrator vs. author,The distinction between the narrator's identity and status and the author's biographical details.
narrator's text,"This term refers to the portion of a narrative that is directly attributed to the narrator. In Narratology, it includes descriptions, commentary, and any narrative content that is not dialogue or characters' internal thoughts."
nature of confrontation,"The characteristics and dynamics of conflict or opposition in a narrative, shaping plot development, tension, and character interactions."
no suspense,"A narrative style or situation where there is an absence of suspense, often because outcomes are clear or expectations are not subverted."
non-chronological criteria,"Criteria used in Narratology to organize or analyze a narrative based on elements other than chronological order, such as thematic connections, character development, or symbolic patterns."
non-functional event,"An event in a narrative that does not significantly influence the plot or character development, often serving as background or additional detail."
non-narrative comments,"Elements in a text that do not directly contribute to the progression of the narrative, such as authorial asides, reflections, or commentary on the narrative itself."
non-narrative embedded text,"This refers to text within a narrative that does not contribute directly to the story's progression. In Narratology, it includes documents, letters, or other texts within the story that add depth or context but do not advance the plot."
non-perceptible objects,"Elements in a narrative that cannot be directly observed or perceived by the senses, such as thoughts, emotions, or abstract concepts."
non-progressive elements,Parts of the narrative that do not advance the plot but provide depth or context.
object,"In narratology, the goal, desire, or item that the subject of a narrative seeks to obtain or achieve, driving the story's plot and character motivation."
objective anachronies,"In Narratology, objective anachronies are disruptions in the chronological sequence of events presented from a neutral, external viewpoint. They provide factual information about events and situations independent of characters’ personal experiences."
objective object,"A tangible or concrete goal or item in a narrative that characters seek or interact with, driving plot progression and influencing character actions."
objects,Items or elements within the story that may have symbolic or practical significance.
observed,"The character or element within a narrative that is being watched or recounted by the observer, often central to the unfolding of events."
observer,"In narratology, this refers to a character or narrative voice that observes and recounts events, but may not be directly involved in the action."
omitted events of the fabula,Events in the story world that are not explicitly included in the narrative.
open vs closed,"A spatial contrast in narratives where 'open' spaces symbolize freedom, possibility, or danger, and 'closed' spaces symbolize confinement, safety, or restriction."
opponents,"Characters or elements in a narrative that oppose or hinder the subject, creating conflict and obstacles that the subject must overcome."
outer spaces,"The physical settings or environments in a narrative, ranging from intimate settings to expansive landscapes, which frame the action and influence the story's atmosphere."
overt anticipations,"Clear and explicit anticipations in a narrative where future events or developments are directly suggested or stated, often used to build suspense or guide the reader’s expectations."
parafictive dissonance,"This term describes the tendency to blur the boundaries between fiction and reality, appropriating the narrative for personal lived experience rather than engaging in shared interpretation and discussion. It contrasts the clear delineation of fiction and reality, focusing on immersive interpretation and analysis."
parafictive malbehavior,"Characterized by seeking validation or identity in an almost addictive manner, this behavior often results in the formation of cult-like fan communities. It mirrors a collective, anarchic struggle for identity and boundary-setting, reminiscent of historical sociological upheavals."
parafictive mizzenput,"This theoretical framework addresses the complex interplay between fictional narratives and reader perception, focusing on phenomena where readers project, misinterpret, or over-identify with fictional content, leading to behaviors ranging from constructive engagement to maladaptive responses."
parafictive overreach,"This occurs when readers attribute unrealistic expectations or significance to fictional narratives, such as seeking prophetic wisdom or personal salvation. It often manifests as a protective, obsessive attachment to the narrative, sometimes leading to infantile and destructive coping mechanisms."
parallel fabula strands,"Multiple storylines or sequences of events in a narrative that occur simultaneously or intersect at points, enriching the plot and offering diverse perspectives."
pattern of event presentation,"This term describes the way in which events are arranged and revealed in a narrative, including their order, frequency, and the connections between them."
pause,"In Narratology, a pause refers to a moment in the narrative where the progression of events halts, often used to provide descriptive detail, character introspection, or thematic exploration."
pauses,Plural of pause; refers to multiple instances of narrative breaks or slowdowns.
perceptible objects,"Objects or elements in a narrative that can be directly seen, heard, or otherwise sensed by characters, contributing to the tangible aspects of the story's setting and atmosphere."
perception,"The way characters in a narrative perceive and interpret events and other characters, which can be influenced by their personal experiences, biases, and emotions."
personal conflicts,"Refers to the internal struggles and conflicts faced by characters in a narrative. These conflicts are often central to character development and plot progression and can include emotional, psychological, or relational challenges."
personal language situations,"These are instances in Narratology where the language reflects a personal, subjective viewpoint, often conveying individual characters' thoughts, feelings, or perspectives."
physical appearance,"The description of a character's outward look in a narrative, which can influence reader perceptions and character interactions within the story."
political oppositions,"Conflicts or rivalries in a narrative that stem from political ideologies or power dynamics, often contributing to the plot's tension and complexity."
possibility,"An option or course of action available to characters in a narrative, which, when chosen, leads to certain events and consequences, shaping the story's direction."
postmodern iteration,A narrative technique in postmodern literature that involves repetitive or varied storytelling.
postmodern literature,"A genre of literature characterized by a departure from traditional narrative techniques. In Narratology, postmodern literature often includes metafiction, paradox, fragmentation, and an emphasis on the subjective nature of reality and the instability of meaning."
postmodernism,"A late 20th-century movement in narrative theory, this approach is known for its skepticism towards grand narratives and ideologies, and an inclination towards irony, pastiche, and playful intertextuality. Narratives in this style often blur boundaries between fiction and reality, challenge authorial authority, and explore paradoxes and contradictions, reflecting the complex and uncertain nature of contemporary life."
postmodernist character construction,"Character development in postmodernist literature, often marked by fragmentation, paradox, and a departure from traditional narrative structures, questioning the nature of reality and identity."
power,"The capacity or ability of characters or entities in a narrative to affect outcomes, influence others, or control situations, often a key factor in plot development."
power struggles,"The conflicts and competitions for control, authority, or dominance among characters or groups within a narrative, often a key driver of the plot."
presentist time,"In Narratology, this term refers to a narrative focus on the present moment, often disregarding traditional linear time to emphasize the immediacy and urgency of current events or experiences."
primary chronological segment,This term denotes the main time frame around which a narrative is centered. It is the dominant period of the story against which other timelines or anachronies are contrasted.
primary narrator,"In Narratology, this refers to the main voice that tells the story in a narrative. This narrator is responsible for presenting the events of the story and often sets the tone, perspective, and pace of the narrative."
primary story,"In Narratology, this is the main narrative thread around which the story revolves. It is the central storyline that drives the plot and is usually the focus of the narrative's main conflict and resolution."
processes,"The series of actions, changes, or functions that occur within a narrative, contributing to the development of the plot and characters."
pseudo-ellipsis,A technique where parts of the narrative seem omitted but are actually present in a subtle way.
pseudo-iteration,The apparent repetition of an event that varies subtly each time it is presented.
psychological relationship,"The connection between characters in a narrative that is based on psychological factors, such as emotions, traumas, or mental states, impacting character development and interactions."
public spaces,"Settings in a narrative that are accessible to or shared by the general public, such as streets, parks, or town squares, often used to explore social dynamics or cultural contexts."
punctual anachronies,"These are specific, isolated disruptions in the chronological sequence of a narrative, focusing on single events that deviate from the main timeline."
reader interaction,"The importance of the reader in narrative interpretation, emphasizing the collaborative nature of this process."
reader interpretation,"This term in Narratology refers to the process by which readers derive meaning from a narrative. It is influenced by the reader's personal experiences, cultural background, and emotional responses, and is a critical aspect of how narratives are understood and analyzed."
reader's antipathy,"The negative emotional response or dislike a reader may feel towards certain characters or situations in a narrative, influenced by the story's presentation and character development."
reader's external knowledge,"Information that a reader brings to a narrative from outside sources, such as historical facts or cultural context, which can influence their understanding."
reader's frame of reference,"The personal, cultural, and intellectual context that a reader brings to a narrative, influencing their interpretation and understanding of the story."
reader's general expectations,"The preconceived notions or assumptions a reader has about a story or its elements, based on genre, prior experiences, or cultural norms."
reader's perception of time,"This is how the reader experiences and interprets the passage of time within a narrative. It can be influenced by the narrative’s pacing, structure, and the way time is manipulated within the story."
reader's personal context,"The unique background, experiences, and perspective that a reader brings to a narrative, influencing their interpretation and engagement."
reader's real-world knowledge,"The knowledge and understanding a reader has from their own experience of the real world, influencing how they perceive and interpret a narrative."
reader's sympathy,"The emotional connection or empathy a reader develops towards characters or situations in a narrative, often influenced by the portrayal and development of these elements."
real world psychology,"The study of the human mind and behavior as it exists in reality, which can be used to inform the development of realistic characters and interactions in narratives."
real world stereotype,"A widely held but fixed and oversimplified image or idea of a particular type of person or thing, often used in narratives for quickly establishing character traits."
realism,"A narrative approach that aims to depict everyday life and society accurately and without embellishment. Emerging in the 19th century as a reaction against Romanticism, it focuses on the ordinary, the everyday, and the believable. Narratives in this style often emphasize character development and detailed settings, employing a straightforward style that seeks to reflect the truth of the human condition."
realist narratives,"Narratives in narratology characterized by their attempt to represent life realistically, often focusing on everyday experiences and believable characters."
realistic tradition,"A style in narratology that emphasizes the accurate, detailed depiction of real-life situations and characters, often focusing on everyday experiences and social realities."
receiver,An actant in a narrative who is the intended recipient or beneficiary of the object or goal that the subject seeks to deliver or achieve.
recollections,"Instances in a narrative where characters reflect on past events, contributing to character development, plot depth, and thematic exploration."
reference,"The act of mentioning or alluding to something within a narrative, which can be direct or indirect and is used to enhance the story's depth and intertextual connections."
referential characters,"Characters in a narrative who are intended to refer to or represent real people, ideas, or cultural concepts, often used to provide commentary or critique."
"referential, encyclopaedic description",Objective descriptions conveying factual knowledge about the narrative world.
referential-rhetorical description,"Descriptions that combine factual details with persuasive elements, aiming to shape the reader's understanding."
relations,"In narratology, this refers to the connections and interactions between characters, events, and elements within a narrative, shaping the story’s progression and themes."
relationships,"Within the context of character construction, relationships refer to the connections and interactions between characters in a narrative, which can significantly shape their development and the story's progression."
repetition,"The recurring use of certain elements (such as phrases, motifs, or character traits) in a narrative, which can create emphasis, develop themes, or build rhythm."
result,"The outcome or consequence of an event or action in a narrative, which impacts subsequent events and the overall progression of the story."
retrospective insights,"In Narratology, retrospective insights refer to understandings or revelations about events, characters, or situations that are revealed later in the narrative, looking back on past occurrences. These insights can offer new interpretations or deeper meanings to earlier parts of the story."
retroversion,"In Narratology, retroversion is a narrative technique where the story revisits or reflects on past events. It provides background, depth, and context to the current storyline, and can reveal motivations, causes, and effects that were not previously apparent."
retroversion-within-anticipation,"A narrative technique where retrospectives or flashbacks are included within anticipatory segments, providing historical context or background to the expectations being set."
retrovisions,Flashbacks or references to past events within the narrative.
rhythm,"The pace and flow of the narrative, determined by how events and descriptions are presented."
round character,"A complex character in a narrative who undergoes development, sometimes sufficiently to surprise the reader, contrasting with a flat character."
scene,A section of the narrative where action unfolds continuously in a specific setting.
scenes,Plural of scene; refers to multiple sections of continuous action in specific settings.
second-person narrators,"Narrators who address the reader directly using 'you,' creating an immersive and interactive narrative experience by positioning the reader as a character in the story."
secondary narratives,"These are subordinate or supporting narratives within a main narrative. In Narratology, secondary narratives often complement or contrast with the primary story, adding depth, background, and richness to the overall narrative structure."
secret,"Hidden information or undisclosed aspects in a narrative, which can create suspense, intrigue, or dramatic revelations affecting the plot and character relationships."
secret helper,"A character in a narrative who discreetly assists or aids the main subject, often without their knowledge, contributing to the story's resolution or the subject's success."
secrets revealed gradually,"A narrative strategy where key information or plot elements are slowly disclosed over the course of the story, often enhancing suspense and engagement."
selection,"The process in narratology of choosing specific events, details, or elements to include in the narrative, shaping the story's focus and impact."
self-analysis,"The process by which a character reflects on their own thoughts, feelings, and motivations, often providing insight into their inner world and character development."
semantic axes,"The conceptual frameworks or thematic axes around which narratives are structured, providing deeper meaning and context to the characters and events."
semantic labels of events,"Descriptors used in narratology to categorize and understand the nature and significance of events in a narrative, such as 'conflict,' 'resolution,' or 'climax.'"
sender,"An actant in a narrative who initiates the quest or mission by sending the subject to obtain or achieve the object, often providing motivation or direction."
sensory perceptions,"The narrative's depiction of sensations experienced by characters, such as sight, sound, and touch, which enhance the reader's engagement and empathy."
sequence of events (sequential ordering),"This refers to the arrangement of events in a narrative in a specific order, typically following a linear or logical sequence. It forms the backbone of the plot and is fundamental in guiding the reader through the story."
sequential relationship,"The linear or ordered connection between events in a narrative, with one event following another in a logical sequence, contributing to plot development."
shapes,"Geometric forms used in narrative descriptions to create visual imagery, set the scene, or symbolize certain themes or ideas."
sight,"The use of visual descriptions in a narrative to create imagery, set scenes, and convey information about characters and settings."
singular and iterative event blending,The mixing of unique events with repetitive ones in a narrative to create complexity.
singular presentation,The depiction of an event that occurs only once within the narrative.
singular presentation of singular events,The unique portrayal of events that occur only once in the story.
sizes,"The dimensions or scale of objects, characters, or spaces in a narrative, used to create perspective, highlight contrasts, or emphasize certain elements."
skill,"The capabilities or expertise a character in a narrative possesses, which enable them to perform actions, solve problems, or overcome challenges in the story."
slow-down,"A decrease in the pace of the narrative, often used for emphasis or detail."
social,"Pertaining to the societal or communal aspects in a narrative, including social interactions, hierarchies, and norms that affect characters and plot."
social dynamics,"This term refers to the interactions and relationships between characters within a narrative, influenced by and reflective of the societal and cultural norms of the story’s setting."
societal contexts,"In Narratology, societal contexts refer to the social, cultural, and historical settings and circumstances that influence and are reflected in a narrative. These contexts help shape the narrative’s themes, characters, and events."
societal norms,"In Narratology, societal norms are the established rules, behaviors, and expectations that govern the characters' society. They often play a crucial role in shaping the characters' actions, conflicts, and the story’s thematic development."
sound,"The auditory elements in a narrative, such as dialogue, environmental sounds, or silence, which contribute to the atmosphere and realism of the story."
space and event relationship,"The interconnection between spatial settings and narrative events in a story, where the location can influence, reflect, or enhance the action and character interactions."
span of anachronies,"Refers to the extent or range of temporal disruptions within a narrative, indicating the degree to which the chronological order is altered or manipulated."
spatial connections,"In Narratology, spatial connections refer to how locations and settings are linked or related within a narrative, contributing to the story's coherence and the reader's understanding of the story world."
spatial description,"The narrative detailing of a space or setting, including its physical characteristics, atmosphere, and significance, contributing to the reader's visualization and understanding of the story."
spatial determination,"Refers to the way in which space is defined or characterized in a narrative, including how specific locations and environments are described and their significance to the story."
spatial distance,"The depiction of physical or emotional separation in a narrative, which can symbolize isolation, create tension, or emphasize differences between characters or elements."
spatial dynamics,"The interplay and evolution of spatial elements within a narrative, including how changes in space affect character interactions, plot development, and thematic expression."
spatial elements,"Components of a narrative that relate to the arrangement, description, and function of spaces within the story, contributing to its atmosphere and thematic depth."
spatial experience,"The way characters and, by extension, readers perceive and interact with the spatial elements of the narrative, contributing to the overall immersion and understanding of the story."
spatial frame,"The conceptual or physical boundary within which spatial elements of a narrative are contained, shaping the reader's perception of the setting and events."
spatial frames,"The boundaries or contexts within which spatial elements in a narrative are presented, shaping the reader's understanding of the setting and action."
spatial information,"The details provided in a narrative about the location, layout, and characteristics of spaces, aiding in the creation of a vivid and coherent setting for the story."
spatial invasion,"A narrative element where a character or force disrupts the established spatial order, often creating conflict, tension, or a shift in the story's dynamics."
spatial mediators,"Elements within a narrative that facilitate the transition or connection between different spatial areas, helping to guide the reader's understanding of the story's setting."
spatial movement,"The description and portrayal of characters or objects moving through space within a narrative, which can influence the pace, mood, and progression of the story."
spatial opposition,"The contrast between different spatial elements or settings in a narrative, such as up vs. down, inside vs. outside, or urban vs. rural, used to enhance thematic depth or character development."
spatial position,"The specific location or place of characters or objects within the narrative's setting, impacting the story's dynamics, character interactions, and plot development."
spatial proximity,"The closeness or nearness of characters, objects, or settings in a narrative, which can influence relationships, tensions, and the flow of the story."
spatial representation,"The way spaces and environments are depicted in a narrative, influencing the reader's visualization and understanding of the story's setting and context."
spatial status,"The relative importance or role of a particular space within the narrative, which can influence the plot, character development, and thematic exploration."
speech forms,"In Narratology, speech forms refer to the various ways in which characters’ speech is represented in a narrative, such as direct speech, indirect speech, and free indirect discourse. Each form offers different insights into characters and events."
speed of event presentation,This refers to how quickly or slowly events are depicted in the narrative. It influences the story's pacing and can impact the reader's perception of the action and tension within the story.
stable object elements,"Elements in a narrative that remain constant or unchanging, such as settings or specific character traits, providing a backdrop for the dynamic aspects of the story."
static elements,Parts of the narrative that remain constant or unchanging.
story,"The content of the narrative text, giving a particular manifestation to a fabula."
story time units,"In Narratology, story time units refer to the segments of time that make up the narrative, which can vary in duration and are essential for structuring the story's temporal dimension."
story-level motivation,"Description driven by a character's vision or perception, shaping the narrative's descriptive elements."
story-time (ST),The time duration covered by the narrative or the story as it is presented to the audience.
storytelling experience,"In Narratology, this term encompasses the overall impact and process of conveying a story, including the techniques, style, and structure employed to engage and communicate with the reader."
structural event grouping,"The organization of events in a narrative into meaningful clusters or sequences, based on their interrelations, significance, or contribution to the narrative structure."
structuralism,"A method in narratology focusing on understanding the underlying structure of narratives, emphasizing the role of underlying rules and conventions that shape the story."
subfabula,"A secondary or subordinate storyline within a narrative, which may intersect with or complement the main fabula, adding depth and complexity to the story."
subject,"The central character or entity in a narrative who undertakes the quest or action to achieve a goal or object, driving the story's plot."
subject's intention,"The purpose, aim, or desire driving the subject in a narrative, shaping their actions, decisions, and the overall direction of the story."
subject-object relationship,"A key relationship in narratology where the subject is a character or entity seeking an object or goal, forming a fundamental dynamic in narrative structure."
subjective anachronies,"These are disruptions in the chronological sequence of events in a narrative, presented from the perspective of a character’s internal experience. They reflect the character's personal perceptions and emotions."
subjective experience,"This term in Narratology refers to the internal, personal experiences and perceptions of characters. It emphasizes the individual emotional and psychological responses to events and situations within the narrative."
subjective object,"An abstract, personal, or intangible goal in a narrative, such as a dream, ambition, or desire, which motivates character actions and influences the plot."
subjectivity,The role of personal perspective and interpretation in understanding and analyzing narratives.
summarization,"The narrative technique of condensing or summarizing events or information, often used to convey essential points and maintain pacing in the story."
summary,"A condensed version of the narrative, highlighting key events and elements."
suspense,A state of excited anticipation or uncertainty about future events in the narrative.
symbolic description,"The use of symbols in descriptions to convey deeper meanings or themes within a narrative, often going beyond the literal interpretation."
symbolic function,"The deeper meaning or significance attached to spatial elements, objects, or actions in a narrative, often contributing to the story's thematic depth."
symbolic meaning,"Deeper significance attached to narrative elements, often representing broader themes."
symbolic representations of character emotion,The use of symbols or actions to express or reflect the emotions of characters.
systematized metaphor,"A unified and coherent metaphor that pervades an entire description, offering thematic depth."
tactile sensations,"The descriptions of physical sensations of touch in a narrative, enhancing the realism and sensory engagement of the reader with the story's environment."
temporal manipulation,"This refers to the deliberate alteration of time sequences in a narrative. It includes techniques such as flashbacks, flashforwards, and non-linear timelines, used to enhance storytelling, reveal character depth, and build suspense."
temporal placement of events,The positioning of events in a narrative according to their time sequence. It determines how the story’s timeline is structured and perceived by the reader.
temporal sequence,"This refers to the order in which events are presented in a narrative, which may or may not align with their actual chronological order, depending on the narrative techniques employed."
temporality of trauma,"In Narratology, this concept relates to how narratives represent the experience and impact of trauma, often affecting the chronological structure and emotional tone of the story."
tension,"The sense of suspense, conflict, or urgency in a narrative that keeps readers engaged and interested in the outcome of the story or the resolution of its conflicts."
text,"Defined here as a finite, structured whole composed of various signs."
text interference,"In Narratology, text interference occurs when elements outside the main narrative, such as footnotes, authorial asides, or other disruptions, intrude into the storytelling, affecting the reader’s engagement with the text."
text signs,"In Narratology, text signs refer to elements within a narrative that convey meaning beyond the literal text, such as symbolism, metaphor, and other literary devices. They contribute to the depth and interpretation of the story."
text's communicative nature,"This term in Narratology refers to the inherent ability of a text to convey messages, emotions, and ideas to the reader. It encompasses the effectiveness of the narrative in engaging with and impacting the audience."
text-level motivation,Description motivated by a character's direct interaction or description of an object within the narrative text.
textual form,"The structural and stylistic arrangement of a narrative, including its layout, syntax, and narrative techniques, which shapes how the story is told and received."
the narrative cycle,"The repetitive or cyclical structure in narratives where certain patterns, themes, or events recur, contributing to the story's rhythm, coherence, and thematic development."
"the visible fictive ""i""","In Narratology, this refers to the explicit presence of a first-person narrator within a narrative. It is a self-aware narration style where the narrator’s identity and role in telling the story are evident to the reader."
thematic elements,"These are the central ideas, subjects, or concepts that a narrative explores. Thematic elements provide deeper meaning and insight into the narrative, contributing to its overall message and impact."
thematic exploration,"In Narratology, thematic exploration involves delving into the underlying themes and concepts of a narrative. It includes examining the ideas, messages, and motifs that the narrative seeks to explore and convey."
thematic implication,The underlying themes or messages conveyed through narrative elements.
thematic integration,"The process in narratology of blending various themes seamlessly into the narrative, ensuring that all elements contribute to the overall message or purpose of the story."
theory,"In this context, a set of generalized statements about a segment of reality, specifically narrative texts."
thought representation,"A technique in narratology for depicting characters' thoughts and internal processes, contributing to character development and narrative depth."
threat situations,"Scenarios within a narrative that create a sense of danger or risk for the characters, contributing to the tension and suspense of the story."
three-layer distinction,"The differentiation between text, story, and fabula in narratives, where each layer has distinct properties but is interconnected in practice."
three-layer framework,"A narrative analysis model consisting of: Text (actual content including dialogue and descriptions), Story (the sequence of events, characters, setting, conflict, and resolution), and Narration (style and perspective of storytelling, narrative voice and stylistic choices)."
time,"A fundamental element in Narratology representing the duration, sequencing, and pacing of events in a narrative. It is essential in structuring the plot and affects how the story is perceived and understood by the reader."
time of the fabula (TF),The chronological order of events as they would occur in the story world.
time sequence,"The order and progression of events in a narrative as related to time, which can be linear, nonlinear, or fragmented, playing a crucial role in the structure and pacing of the story."
touch,"The narrative depiction of physical contact or sensation, contributing to the sensory experience of the story and the emotional connection to characters."
traditional binary oppositions,"Established dichotomies in literature, such as good vs. evil or man vs. nature, used to structure narratives and develop themes, often challenged in contemporary literature."
traditional interpretations,"Conventional or widely accepted understandings and analyses of literature, often based on established critical frameworks and historical contexts."
traditional narrative distinctions,"The conventional separations or categories in narratology, such as first-person versus third-person narration, which help define the narrative's structure and perspective."
traitor,"A character in a narrative who betrays or deceives others, often causing conflict, tension, or plot twists that significantly impact the story's progression."
transformations,"The significant changes that occur within a narrative, affecting characters, settings, or the story itself, often driving the plot and thematic development."
transitory locations,"Places within a narrative that serve as temporary settings or stages for events, often marking transitions or shifts in the story's development or character journey."
truth claims,"Statements or implications within a narrative that assert or suggest the veracity of the presented events or experiences, influencing the reader's perception of the narrative's realism."
variable focalization,"A technique in narratology where the perspective or point of view shifts within the narrative, allowing for different characters' perceptions and thoughts to be presented."
variations in rhythm,"These are changes in the pacing and flow of a narrative, which can be used to create emphasis, build suspense, or highlight thematic or emotional shifts within the story."
verbs of action,"Words in a narrative that denote action or movement, crucial for driving the plot forward and depicting events and character interactions."
visual elements,"The components of a narrative that are related to sight, such as imagery, descriptions, and symbols, used to create vivid scenes and enhance storytelling."
will,"The determination, desire, or intention of a character in a narrative, driving their actions, choices, and interactions with other characters and elements of the story."
withholding information,"A technique in storytelling where certain key details are deliberately kept from the reader, creating mystery, suspense, or surprise."
